"BirdID","Disperse","Inherit","DispersalDate","DispersalMonth2","NatalTerritory","DisperseTerritoryID","DisperseStatus","NatalStatus","DisperseStatus2","Age_at_disp1","Age_at_disp2","BirthDate1","BirthDate2","Reached_min_age_1","Reached_min_age_2","DispersalYear","BirthYear1","BirthYear2","PopDensity.all","PopDensity.old","GroupSize.all","GroupSize.old","NoTranslocationEvents","TranslocationYN","Distance","NatalTerritorySize","DisperseTerritorySize","InsectAbundance","InsectDensity","SexEstimate","Novel.object.score","StndBody.mass","BodyMass","Weather","Observer","TentColour","ExplorationBranchOrientation","ReleaseMethod","Time.between.tests","Social.status","TentPoles","BranchHeight","Days.into.season","Testno","Ageclass","Age_sd","Age_sq","Age_sq_sd","Season"
5588,1,NA,"2011-11-27","W",13,41,"BrM","ABX",1,392,477,"2010-10-31","2010-08-07",NA,NA,2011,2010,2010,331,294,4,4,NA,"N",110.435501538228,3135,1818,2355.4151796,8.981450234,1,33,1.272122103,19,"C","MB","G","P","H",475,"Primary",0,0,117,1,"A",0.021960215,1125721,-0.120246143,117.1
5590,1,NA,"2011-11-27","W",2,481,"BrM","CH",1,272,272,"2011-02-28","2011-02-28",NA,NA,2011,2011,2011,331,294,8,6,NA,"N",130.552671362941,2994,3072,2355.4151796,8.981450234,1,96,0.665712096,17.5,"P","HE","G","P","P",155,"Primary",0,0,58,2,"A",-0.064724686,777924,-0.163426046,58.1
5590,1,NA,"2011-11-27","W",2,481,"BrM","CH",1,272,272,"2011-02-28","2011-02-28",NA,NA,2011,2011,2011,331,294,8,6,NA,"N",130.552671362941,2994,3072,2355.4151796,8.981450234,1,157,0.895713089,17,"P","HE","B","D","P",164,"Primary",0,0,54,1,"A",-0.13978703,528529,-0.194389085,54.2
5597,1,NA,"2011-11-27","W",173,79,"BrF","AB",1,386,462,"2010-11-06","2010-08-22",NA,NA,2011,2010,2010,331,294,4,3,NA,"N",203.960780543711,2430,1577,2355.4151796,8.981450234,0,1,0.190939397,16,"C","LMG","G","P","P",0,"Primary",0,0,86,1,"A",0.004042107,1048576,-0.129823895,86.1
5604,1,NA,"2011-02-01","W",14,13,"ABX","CH",2,91,91,"2010-11-02","2010-11-02",NA,NA,2011,2010,2010,334,290,5,3,NA,"N",76.8374908491942,1629,3134,1193.788676396,3.736057315,0,59,-0.509608029,14,"S","HE","G","P","H",486,"Non-primary",0,0,21,1,"A",-0.025498558,927369,-0.14487206,21.1
5604,1,NA,"2011-02-01","W",14,13,"ABX","CH",2,91,91,"2010-11-02","2010-11-02",NA,NA,2011,2010,2010,334,290,5,3,NA,"N",76.8374908491942,1629,3134,1193.788676396,3.736057315,0,62,-0.187606638,15.5,"C","HE","B","P","H",378,"Non-primary",0,0,34,2,"A",0.157556708,1798281,-0.036746067,34.1
5612,1,NA,"2011-02-01","W",61,479,"BrM","CH",1,84,187,"2010-11-09","2010-07-29",NA,NA,2011,2010,2010,334,290,3,2,NA,"N",58.309518948453,1654,1543,1193.788676396,3.736057315,1,117,-0.303199434,15.10000038,"S","MB","G","P","P",26,"Primary",0,0,99,2,"A",0.008884839,1069156,-0.127268835,99.1
5612,1,NA,"2011-02-01","W",61,479,"BrM","CH",1,84,187,"2010-11-09","2010-07-29",NA,NA,2011,2010,2010,334,290,3,2,NA,"N",58.309518948453,1654,1543,1193.788676396,3.736057315,1,9,-0.119198639,15,"C","MB","G","P","P",430,"Primary",0,0,73,1,"A",-0.003706264,1016064,-0.133860345,73.1
5613,1,NA,"2011-02-01","W",101,58,"BrF","CH",1,214,169,"2010-07-02","2010-08-16",NA,NA,2011,2010,2010,334,290,4,3,NA,"N",456.027411456811,2455,1878,1193.788676396,3.736057315,0,31,0.069588209,16,"S","HE","G","P","H",407,"Primary",0,0,54,1,"A",0.05004806,1252161,-0.104548287,54.1
5618,1,NA,"2012-11-26","W",98,1,"BrF","ABX",1,599,599,"2011-04-07","2011-04-07",NA,NA,2012,2011,2011,319,301,3,3,1,"Y",515.460958754395,3945,1602,697.770563724,3.969747677,0,130,-0.371988922,16.5,"S","MB","G","P","H",27,"Primary",0,0,77,2,"A",-0.073925877,744769,-0.167542326,77.1
5618,1,NA,"2012-11-26","W",98,1,"BrF","ABX",1,599,599,"2011-04-07","2011-04-07",NA,NA,2012,2011,2011,319,301,3,3,1,"Y",515.460958754395,3945,1602,697.770563724,3.969747677,0,56,-0.141987929,13.5,"S","HE","G","P","P",0,"Primary",0,0,50,1,"A",-0.087001253,698896,-0.173237578,50.1
5621,1,NA,"2011-02-01","W",515,13,"BrF","CH",1,91,180,"2010-11-02","2010-08-05",NA,NA,2011,2010,2010,334,290,3,2,NA,"N",213.859767137253,1612,3134,1193.788676396,3.736057315,0,36,-0.065124567,15.69999981,"S","MB","G","P","P",570,"Primary",0,0,106,1,"A",0.015664663,1098304,-0.123650035,106.1
5625,1,NA,"2011-11-27","W",165,112,"BrF","ABX",1,380,380,"2010-11-12","2010-11-12",NA,NA,2011,2010,2010,331,294,4,4,NA,"N",438.292140016223,3060,1663,2355.4151796,8.981450234,0,75,0.027019814,16,"P","HE","B","D","P",24,"Primary",0,0,52,1,"A",-0.088454072,693889,-0.17385921,52.2
5626,1,NA,"2011-02-01","W",90,77,"BrM","CH",1,71,170,"2010-11-22","2010-08-15",NA,NA,2011,2010,2010,334,290,4,3,NA,"N",224.742074387508,2105,1875,1193.788676396,3.736057315,1,47,1.309958635,17.89999962,"S","HE","B","P","P",276,"Primary",0,0,26,2,"A",0.143997059,1723969,-0.045972095,26.1
5626,1,NA,"2011-02-01","W",90,77,"BrM","CH",1,71,170,"2010-11-22","2010-08-15",NA,NA,2011,2010,2010,334,290,4,3,NA,"N",224.742074387508,2105,1875,1193.788676396,3.736057315,1,19,1.12595784,18.39999962,"C","MB","G","P","H",0,"Primary",0,0,115,1,"A",0.010337658,1075369,-0.126497475,115.1
5634,1,NA,"2011-11-27","W",59,165,"BrF","ABX",1,348,488,"2010-12-14","2010-07-27",NA,NA,2011,2010,2010,331,294,5,5,NA,"N",62.8012738724303,3036,3060,2355.4151796,8.981450234,0,18,-0.572045889,15.30000019,"P","HE","B","P","P",510,"Primary",0,0,40,2,"A",0.140122873,1703025,-0.048572347,40.1
5634,1,NA,"2011-11-27","W",59,165,"BrF","ABX",1,348,488,"2010-12-14","2010-07-27",NA,NA,2011,2010,2010,331,294,5,5,NA,"N",62.8012738724303,3036,3060,2355.4151796,8.981450234,0,23,-0.52604569,13.5,"P","HE","B","D","P",0,"Primary",0,0,46,1,"A",-0.106856453,632025,-0.181539787,46.2
5638,1,NA,"2011-11-27","W",140,544,"BrM","OFL",1,195,195,"2011-05-16","2011-05-16",NA,NA,2011,2011,2011,331,294,4,3,NA,"N",29.732137494637,2226,1469,2355.4151796,8.981450234,1,90,1.094753175,16.60000038,"P","HE","B","P","P",214,"Primary",0,0,40,2,"A",-0.007096176,1002001,-0.135606303,40.2
5638,1,NA,"2011-11-27","W",140,544,"BrM","OFL",1,195,195,"2011-05-16","2011-05-16",NA,NA,2011,2011,2011,331,294,4,3,NA,"N",29.732137494637,2226,1469,2355.4151796,8.981450234,1,22,1.186753573,19.5,"C","HE","G","P","P",0,"Primary",0,0,40,1,"A",-0.110730639,619369,-0.183111062,40.1
5639,1,NA,"2011-11-27","W",118,123,"BrM","CH",1,194,194,"2011-05-17","2011-05-17",NA,NA,2011,2011,2011,331,294,4,3,NA,"N",133.150291024842,2143,1980,2355.4151796,8.981450234,1,1,0.718104638,17.5,"C","HE","G","P","H",338,"Primary",0,0,82,1,"A",-0.090875438,685584,-0.174890298,82.1
5642,1,NA,"2011-05-17","S",26,16,"BrF","CH",1,164.958333333333,278.958333333333,"2010-12-03","2010-08-11",NA,NA,2011,2010,2010,334,290,4,3,NA,"N",187.085541932026,2180,2842,1193.788676396,3.736057315,0,1,-0.094900728,15.5,"C","HE","G","P","H",324,"Primary",0,0,61,1,"A",-0.021140099,944784,-0.142709942,61.1
5643,1,NA,"2012-07-01","S",128,127,"BrM","ABX",1,575.958333333333,681.958333333333,"2010-12-03","2010-08-19",NA,NA,2012,2010,2010,319,301,4,3,1,"Y",41,1420,1983,697.770563724,3.969747677,1,173,0.718935047,16.5,"C","MB","G","P","H",331,"Primary",0,0,75,1,"A",-0.014360274,972196,-0.139306671,75.1
5643,1,NA,"2012-07-01","S",128,127,"BrM","ABX",1,575.958333333333,681.958333333333,"2010-12-03","2010-08-19",NA,NA,2012,2010,2010,319,301,4,3,1,"Y",41,1420,1983,697.770563724,3.969747677,1,105,0.534934252,17.20000076,"P","HE","B","P","P",176,"Primary",0,0,37,2,"A",0.070871807,1350244,-0.092371027,37.2
5648,1,NA,"2012-08-09","S",128,99,"ABX","CH",2,402.958333333333,402.958333333333,"2011-07-03","2011-07-03",NA,NA,2012,2011,2011,331,294,5,4,NA,"N",387.330608137286,2697,1600,2355.4151796,8.981450234,0,1,-0.022090015,15.5,"S","HE","G","P","P",0,"Non-primary",0,0,78,1,"A",-0.115573371,603729,-0.185052809,78.1
5652,1,NA,"2013-08-08","S",157,116,"BrF","ABX",1,948.958333333333,948.958333333333,"2011-01-02","2011-01-02",NA,NA,2013,2011,2011,319,301,4,4,1,"Y",220.12723593413,2126,2004,697.770563724,3.969747677,0,86,-0.856104719,13.30000019,"S","HE","B","P","P",754,"Non-primary",0,0,55,1,"A",0.065060529,1322500,-0.095815517,55.2
5653,1,NA,"2012-05-28","S",40,101,"BrF","CH",1,287.958333333333,287.958333333333,"2011-08-14","2011-08-14",NA,NA,2012,2011,2011,331,294,5,4,NA,"N",431.885401466639,1206,2541,2355.4151796,8.981450234,0,49,-0.235119427,15,"C","HE","G","P","P",0,"Primary",0,0,38,1,"A",-0.155283772,483025,-0.200038525,38.1
5683,1,NA,"2011-02-01","W",174,478,"BrF","CH",1,136,136,"2010-09-18","2010-09-18",NA,NA,2011,2010,2010,334,290,3,3,NA,"N",302.218464028921,3799,1891,1193.788676396,3.736057315,0,95,-0.743770546,13.69999981,"P","MB","B","P","H",268,"Primary",0,0,19,3,"A",0.172084903,1879641,-0.026645011,19.1
5683,1,NA,"2011-02-01","W",174,478,"BrF","CH",1,136,136,"2010-09-18","2010-09-18",NA,NA,2011,2010,2010,334,290,3,3,NA,"N",302.218464028921,3799,1891,1193.788676396,3.736057315,0,25,-0.329768758,15.30000019,"C","MB","G","P","P",67,"Primary",0,0,116,2,"A",0.042299689,1216609,-0.108962161,116.1
5683,1,NA,"2011-02-01","W",174,478,"BrF","CH",1,136,136,"2010-09-18","2010-09-18",NA,NA,2011,2010,2010,334,290,3,3,NA,"N",302.218464028921,3799,1891,1193.788676396,3.736057315,0,3,-0.60576995,14.5,"S","HE","G","P","P",0,"Primary",0,0,49,1,"A",0.009853385,1073296,-0.126754843,49.1
5748,0,1,NA,NA,50,NA,NA,NA,NA,NA,NA,"2011-08-02","2011-07-30",1,1,NA,2011,2011,391,291,4,3,NA,"N",NA,NA,NA,900.722937165,4.199879045,0,6,0.026969346,15.5,"S","MB","G","D","P",545,"Primary",0,0,48,2,"A",0.135764414,1679616,-0.051478635,48.2
5748,0,1,NA,NA,50,NA,NA,NA,NA,NA,NA,"2011-08-02","2011-07-30",1,1,NA,2011,2011,391,291,4,3,NA,"N",NA,NA,NA,900.722937165,4.199879045,0,4,0.072969544,16.5,"C","MB","G","P","P",345,"Non-primary",0,0,82,1,"A",-0.128164474,564001,-0.189985144,82.1
5749,1,NA,"2012-02-03","W",11,33,"BrF","CH",1,186,186,"2011-08-01","2011-08-01",NA,NA,2012,2011,2011,275,261,3,2,NA,"N",53.1507290636732,2628,2228,697.770563724,3.969747677,0,25,0.526894562,15.89999962,"S","MB","G","D","P",567,"Primary",0,0,49,2,"A",0.136732961,1684804,-0.050834532,49.2
5749,1,NA,"2012-02-03","W",11,33,"BrF","CH",1,186,186,"2011-08-01","2011-08-01",NA,NA,2012,2011,2011,275,261,3,2,NA,"N",53.1507290636732,2628,2228,697.770563724,3.969747677,0,19,0.388893966,17,"S","LMG","G","P","H",0,"Primary",0,0,61,1,"A",-0.137849938,534361,-0.193665027,61.1
5750,1,NA,"2013-04-23","W",9,30,"BrF","ABX",1,630.958333333333,607.958333333333,"2011-08-01","2011-08-24",NA,NA,2013,2011,2011,267,265,6,6,NA,"N",176.920886274063,2983,1359,1136.736848003,3.127143292,0,31,-0.272001667,15,"P","HE","G","P","P",322,"Primary",0,0,57,1,"A",-0.13978703,528529,-0.194389085,57.1
5766,1,NA,"2012-08-04","S",68,34,"BrF","ABX",1,308.958333333333,346.958333333333,"2011-09-30","2011-08-23",NA,NA,2012,2011,2011,319,301,5,5,NA,"N",203.577994881569,1834,2163,697.770563724,3.969747677,0,1,0.074990936,15.5,"P","SH","B","D","P",0,"Non-primary",0,0,44,1,"A",-0.248264225,253009,-0.228595611,44.2
5769,1,NA,"2013-04-23","W",51,36,"ABX","ABX",2,569.958333333333,613.958333333333,"2011-10-01","2011-08-18",NA,NA,2013,2011,2011,267,265,4,4,NA,"N",261.398163727292,2382,2857,1136.736848003,3.127143292,0,22,-0.07780337,15.5,"P","HE","B","P","H",327,"Primary",0,0,25,2,"A",-0.008064723,998001,-0.136102913,25.1
5769,1,NA,"2013-04-23","W",51,36,"ABX","ABX",2,569.958333333333,613.958333333333,"2011-10-01","2011-08-18",NA,NA,2013,2011,2011,267,265,4,4,NA,"N",261.398163727292,2382,2857,1136.736848003,3.127143292,0,83,-0.215803966,16,"P","LMG","G","P","P",39,"Non-primary",0,0,63,1,"A",-0.166422056,451584,-0.203942007,63.1
5770,0,1,NA,NA,47,NA,NA,NA,NA,NA,NA,"2011-12-01","2011-12-01",1,1,NA,2011,2011,267,265,7,6,NA,"N",NA,NA,NA,1136.736848003,3.127143292,0,44,-1.495051255,13.5,"S","HE","G","P","P",398,"Primary",0,0,57,1,"A",-0.198868359,366025,-0.21456438,57.1
5770,0,1,NA,NA,47,NA,NA,NA,NA,NA,NA,"2011-12-01","2011-12-01",1,1,NA,2011,2011,267,265,7,6,NA,"N",NA,NA,NA,1136.736848003,3.127143292,0,70,-1.31105046,14.60000038,"S","MB","G","P","P",51,"Primary",0,0,108,2,"A",-0.174170427,430336,-0.206580002,108.1
5776,1,NA,"2011-11-27","W",160,55,"BrM","CH",1,167,95,"2011-06-13","2011-08-24",NA,NA,2011,2011,2011,331,294,3,2,NA,"N",238.933045014707,1356,2132,2355.4151796,8.981450234,1,91,0.781612777,18,"C","LMG","G","P","P",136,"Primary",0,0,30,2,"A",-0.12913302,561001,-0.190357602,30.1
5776,1,NA,"2011-11-27","W",160,55,"BrM","CH",1,167,95,"2011-06-13","2011-08-24",NA,NA,2011,2011,2011,331,294,3,2,NA,"N",238.933045014707,1356,2132,2355.4151796,8.981450234,1,101,0.919613373,16.5,"S","LJR","B","P","P",957,"Primary",0,0,43,3,"A",0.334316422,2910436,0.101330874,43.2
5776,1,NA,"2011-11-27","W",160,55,"BrM","CH",1,167,95,"2011-06-13","2011-08-24",NA,NA,2011,2011,2011,331,294,3,2,NA,"N",238.933045014707,1356,2132,2355.4151796,8.981450234,1,60,0.689612379,16,"S","HE","B","D","H",13,"Primary",0,0,45,1,"A",-0.194994174,375769,-0.213354637,45.2
5778,0,0,NA,NA,168,NA,NA,NA,NA,NA,NA,"2011-12-10","2011-12-10",0,0,NA,2011,2011,319,301,7,6,NA,"N",NA,NA,NA,697.770563724,3.969747677,0,43,-1.415306578,14,"P","HE","B","D","P",242,"Non-primary",0,0,51,1,"A",-0.279257709,192721,-0.236080523,51.2
5780,1,NA,"2013-04-23","W",27,9,"BrM","ABX",1,498.958333333333,498.958333333333,"2011-12-11","2011-12-11",NA,NA,2013,2011,2011,267,265,4,4,NA,"N",80.6225774829855,1890,2983,1136.736848003,3.127143292,1,28,-0.338982638,15.89999962,"P","MB","B","P","H",316,"Primary",0,0,68,2,"A",-0.021624372,942841,-0.142951171,68.1
5780,1,NA,"2013-04-23","W",27,9,"BrM","ABX",1,498.958333333333,498.958333333333,"2011-12-11","2011-12-11",NA,NA,2013,2011,2011,267,265,4,4,NA,"N",80.6225774829855,1890,2983,1136.736848003,3.127143292,1,11,-0.338982638,15.69999981,"C","MB","G","P","P",238,"Primary",0,0,117,1,"A",-0.1746547,429025,-0.206742766,117.1
5820,1,NA,"2013-04-23","W",88,112,"BrM","ABX",1,417.958333333333,417.958333333333,"2012-03-01","2012-03-01",NA,NA,2013,2012,2012,267,265,4,4,NA,"N",156.208194407336,3405,1663,1136.736848003,3.127143292,1,33,0.284147271,16,"P","SH","B","D","P",238,"Non-primary",0,0,52,1,"A",-0.318483837,128164,-0.244095443,52.2
5820,1,NA,"2013-04-23","W",88,112,"BrM","ABX",1,417.958333333333,417.958333333333,"2012-03-01","2012-03-01",NA,NA,2013,2012,2012,267,265,4,4,NA,"N",156.208194407336,3405,1663,1136.736848003,3.127143292,1,99,0.376147669,16,"C","MB","G","D","P",585,"Primary",0,0,30,2,"A",0.024381581,1136356,-0.11892578,30.2
5822,1,NA,"2013-04-23","W",13,83,"ABX","ABX",2,355.958333333333,355.958333333333,"2012-05-02","2012-05-02",NA,NA,2013,2012,2012,267,265,4,4,NA,"N",363.670180245783,2257,1791,1136.736848003,3.127143292,1,14,-0.139131189,15.5,"S","LMG","G","P","P",424,"Non-primary",0,0,89,1,"SA",-0.257465415,234256,-0.230923845,89.1
5825,1,NA,"2013-04-23","W",2,154,"BrF","ABX",1,432.958333333333,432.958333333333,"2012-02-15","2012-02-15",NA,NA,2013,2012,2012,267,265,6,6,NA,"N",541.388030898357,1911,1342,1136.736848003,3.127143292,0,2,-0.539217919,15,"P","LMG","G","P","P",355,"Primary",0,0,87,1,"A",-0.221144926,312481,-0.221212007,87.1
5825,1,NA,"2013-04-23","W",2,154,"BrF","ABX",1,432.958333333333,432.958333333333,"2012-02-15","2012-02-15",NA,NA,2013,2012,2012,267,265,6,6,NA,"N",541.388030898357,1911,1342,1136.736848003,3.127143292,0,5,-0.539217919,14.60000038,"P","HE","B","P","P",156,"Primary",0,0,29,2,"A",-0.145598309,511225,-0.196537422,29.2
5825,1,NA,"2013-04-23","W",2,154,"BrF","ABX",1,432.958333333333,432.958333333333,"2012-02-15","2012-02-15",NA,NA,2013,2012,2012,267,265,6,6,NA,"N",541.388030898357,1911,1342,1136.736848003,3.127143292,0,5,-0.585218118,15.69999981,"P","HE","B","P","P",11,"Primary",0,0,40,3,"A",-0.140271303,527076,-0.194569479,40.2
5826,1,NA,"2012-07-12","S",62,129,"ABX","CH",2,267.958333333333,267.958333333333,"2011-10-18","2011-10-18",NA,NA,2012,2011,2011,319,301,4,2,NA,"N",63.2534584034739,1876,2512,697.770563724,3.969747677,1,2,0.669255372,17,"S","LMG","G","P","P",322,"Primary",0,0,65,1,"A",-0.173686154,431649,-0.206416989,65.1
5826,1,NA,"2012-07-12","S",62,129,"ABX","CH",2,267.958333333333,267.958333333333,"2011-10-18","2011-10-18",NA,NA,2012,2011,2011,319,301,4,2,NA,"N",63.2534584034739,1876,2512,697.770563724,3.969747677,1,1,0.577254975,17.60000038,"S","HE","B","P","P",203,"Primary",0,0,54,2,"A",-0.075378696,739600,-0.168184071,54.2
5829,1,NA,"2013-07-11","S",20,490,"BrM","ABX",1,453.958333333333,453.958333333333,"2012-04-13","2012-04-13",NA,NA,2013,2012,2012,304,288,5,5,NA,"N",40.7921561087423,1992,2284,1136.736848003,3.127143292,1,31,0.195319893,18,"S","HE","G","P","H",288,"Primary",0,0,23,1,"A",-0.280226255,190969,-0.236298038,23.1
5829,1,NA,"2013-07-11","S",20,490,"BrM","ABX",1,453.958333333333,453.958333333333,"2012-04-13","2012-04-13",NA,NA,2013,2012,2012,304,288,5,5,NA,"N",40.7921561087423,1992,2284,1136.736848003,3.127143292,1,73,0.241320092,15.80000019,"C","MB","G","D","H",586,"Primary",0,0,30,2,"A",0.003557834,1046529,-0.130078036,30.2
5834,1,NA,"2013-02-09","W",2,50,"ABX","ABX",2,283,283,"2012-02-17","2012-02-17",NA,NA,2012,2012,2012,267,265,6,6,NA,"N",368.722117589927,1911,1380,1136.736848003,3.127143292,1,37,0.211948997,17.29999924,"S","HE","B","P","P",693,"Primary",0,0,63,1,"A",-0.056976315,806404,-0.15989018,63.1
5839,1,NA,"2013-07-17","S",36,407,"ABX","ABX",2,427.958333333333,427.958333333333,"2012-05-15","2012-05-15",NA,NA,2013,2012,2012,304,288,5,5,NA,"N",87.3212459828649,2857,2444,1136.736848003,3.127143292,1,0,-0.346406882,15.10000038,"C","HE","B","P","H",270,"Primary",0,0,21,1,"A",-0.11993183,589824,-0.186779151,21.1
5847,1,NA,"2012-02-02","W",110,71,"BrM","CH",1,136,155,"2011-09-19","2011-08-31",NA,NA,2012,2011,2011,331,294,6,4,NA,"N",245.203996704785,2365,2036,2355.4151796,8.981450234,1,106,0.12719313,15,"C","MB","G","P","P",22,"Primary",0,0,81,2,"A",-0.15189386,492804,-0.198824437,81.1
5847,1,NA,"2012-02-02","W",110,71,"BrM","CH",1,136,155,"2011-09-19","2011-08-31",NA,NA,2012,2011,2011,331,294,6,4,NA,"N",245.203996704785,2365,2036,2355.4151796,8.981450234,1,37,0.081192931,16.5,"S","LMG","G","P","P",315,"Primary",0,0,59,1,"A",-0.16254787,462400,-0.202599173,59.1
5853,1,NA,"2014-02-06","W",77,616,"BrM","H",1,557,557,"2012-07-29","2012-07-29",NA,NA,2014,2012,2012,304,288,5,4,NA,"N",158.316139417306,1432,864,1136.736848003,3.127143292,1,9,0.093858446,16,"S","HE","B","D","P",0,"Non-primary",0,0,48,1,"SA",-0.393061908,41616,-0.254840602,48.2
5855,1,NA,"2013-11-24","W",479,53,"BrM","AB",1,457,457,"2012-08-24","2012-08-24",NA,NA,2013,2012,2012,304,288,5,4,NA,"N",53.851648071345,3057,2734,1136.736848003,3.127143292,1,86,0.910434012,17.5,"C","LJR","B","P","H",969,"Primary",0,0,54,2,"A",0.12753177,1635841,-0.056913416,54.2
5855,1,NA,"2013-11-24","W",479,53,"BrM","AB",1,457,457,"2012-08-24","2012-08-24",NA,NA,2013,2012,2012,304,288,5,4,NA,"N",53.851648071345,3057,2734,1136.736848003,3.127143292,1,36,0.680433018,17,"S","HE","G","P","H",0,"Non-primary",0,0,29,1,"SA",-0.34172895,96100,-0.248076272,29.1
5901,0,1,NA,NA,63,NA,NA,NA,NA,NA,NA,"2012-06-05","2012-05-28",1,1,NA,2012,2012,267,265,7,7,NA,"N",NA,NA,NA,1136.736848003,3.127143292,0,32,-0.448428106,14.5,"S","HE","G","P","P",172,"Primary",0,0,51,1,"A",-0.292333085,169744,-0.238933177,51.1
5908,1,NA,"2014-06-22","S",165,137,"BrM","ABX",1,550.958333333333,550.958333333333,"2012-12-18","2012-12-18",NA,NA,2014,2012,2012,391,291,3,2,NA,"N",49.2036584005702,4004,2188,900.722937165,4.199879045,1,18,0.119112139,16,"P","HE","B","D","P",0,"Non-primary",0,0,46,1,"JUV",-0.462797247,3600,-0.259560388,46.2
5908,1,NA,"2014-06-22","S",165,137,"BrM","ABX",1,550.958333333333,550.958333333333,"2012-12-18","2012-12-18",NA,NA,2014,2012,2012,391,291,3,2,NA,"N",49.2036584005702,4004,2188,900.722937165,4.199879045,1,75,0.073111941,15.60000038,"S","HE","B","P","H",497,"Primary",0,0,27,2,"A",-0.222113472,310249,-0.221489116,27.1
5909,1,NA,"2015-04-28","W",477,112,"BrF","ABX",1,1038.95833333333,950.958333333333,"2012-06-23","2012-09-19",NA,NA,2015,2012,2012,364,338,5,5,NA,"N",43.2983483916204,2161,1456,1167.56180546,3.987349657,0,105,-0.91633471,12.89999962,"C","MB","G","D","P",498,"Non-primary",0,0,29,4,"A",-0.031309836,904401,-0.147723597,29.2
5909,1,NA,"2015-04-28","W",477,112,"BrF","ABX",1,1038.95833333333,950.958333333333,"2012-06-23","2012-09-19",NA,NA,2015,2012,2012,364,338,5,5,NA,"N",43.2983483916204,2161,1456,1167.56180546,3.987349657,0,1,-0.870334511,14,"S","HE","B","D","H",0,"Non-primary",0,0,48,1,"SA",-0.375628073,57600,-0.252856147,48.2
