"BirdID","NatalTerritory"
"1042","14"
"1494","74"
"1605","40"
"1607","40"
"1660","8"
"1669","30"
"1678","135"
"1698","54"
"1707","66"
"1710","171"
"1722","125"
"1729","47"
"1731","80"
"1750","7"
"1762","2"
"1763","17"
"1801","137"
"1819","79"
"1821","139"
"1824","22"
"1826","36"
"1852","23"
"1864","30"
"1869","83"
"1877","125"
"2960","60"
"2966","8"
"2968","55"
"2978","82"
"2986","69"
"2990","63"
"2991","83"
"3085","3"
"3087","16"
"3089","140"
"3094","128"
"3451","53"
"3453","56"
"3456","109"
"3462","101"
"3486","1"
"3490","28"
"3497","1"
"3518","28"
"3519","27"
"3567","58"
"3594","5"
"3595","95"
"3606","179"
"3608","1"
"3643","113"
"3694","69"
"3699","55"
"4803","63"
"4860","54"
"4861","75"
"4883","93"
"4885","20"
"4887","112"
"4890","24"
"4892","72"
"4896","88"
"4904","43"
"4933","60"
"4939","4"
"4941","39"
"4947","110"
"4954","99"
"4957","177"
"4961","51"
"4964","57"
"4965","53"
"4999","58"
"5000","135"
"5009","13"
"5072","47"
"5123","63"
"5162","174"
"5163","36"
"5170","53"
"5173","129"
"5195","5"
"5197","20"
"5217","125"
"5220","168"
"5235","68"
"5237","48"
"5249","70"
"5262","66"
"5267","101"
"5275","79"
"5283","92"
"5285","100"
"5290","62"
"5291","165"
"5292","59"
"5313","13"
"5319","134"
"5321","60"
"5323","135"
"5326","96"
"5333","28"
"5334","125"
"5337","477"
"5338","178"
"5339","9"
"5343","3"
"5447","75"
"5450","27"
"5453","3"
"5456","77"
"5462","4"
"5497","98"
"5498","134"
"5508","48"
"5510","27"
"5511","15"
"5513","46"
"5514","43"
"5516","34"
"5517","2"
"5518","478"
"5519","490"
"5520","5"
"5521","13"
"5522","58"
"5523","58"
"5525","30"
"5526","33"
"5527","477"
"5529","95"
"5530","172"
"5532","127"
"5533","51"
"5534","86"
"5536","3"
"5537","68"
"5538","83"
"5539","481"
"5541","43"
"5542","407"
"5543","71"
"5545","75"
"5547","159"
"5549","63"
"5559","173"
"5561","168"
"5562","8"
"5573","74"
"5575","74"
"5582","79"
"5583","105"
"5584","3"
"5585","24"
"5586","79"
"5588","13"
"5590","2"
"5594","100"
"5595","477"
"5596","125"
"5597","173"
"5600","138"
"5602","79"
"5604","14"
"5605","135"
"5606","154"
"5607","109"
"5608","77"
"5612","61"
"5613","101"
"5618","98"
"5620","8"
"5621","515"
"5624","481"
"5625","165"
"5626","90"
"5630","69"
"5634","59"
"5636","59"
"5638","140"
"5639","118"
"5641","168"
"5642","26"
"5643","128"
"5644","128"
"5648","128"
"5650","160"
"5652","157"
"5653","40"
"5657","83"
"5658","45"
"5678","77"
"5679","36"
"5682","15"
"5683","174"
"5685","14"
"5686","159"
"5748","50"
"5749","11"
"5750","9"
"5765","69"
"5766","68"
"5768","71"
"5769","51"
"5770","47"
"5771","47"
"5772","39"
"5773","178"
"5774","3"
"5775","173"
"5776","160"
"5777","168"
"5778","168"
"5779","57"
"5780","27"
"5781","80"
"5782","174"
"5783","127"
"5784","126"
"5785","60"
"5786","3"
"5787","9"
"5820","88"
"5821","125"
"5822","13"
"5823","30"
"5824","75"
"5825","2"
"5826","62"
"5827","2"
"5828","135"
"5829","20"
"5830","67"
"5831","3"
"5832","477"
"5833","27"
"5834","2"
"5835","24"
"5836","172"
"5837","14"
"5838","105"
"5839","36"
"5841","9"
"5842","90"
"5843","28"
"5844","478"
"5845","94"
"5846","62"
"5847","110"
"5848","67"
"5849","63"
"5850","125"
"5851","134"
"5852","109"
"5853","77"
"5854","479"
"5855","479"
"5901","63"
"5902","111"
"5903","173"
"5904","128"
"5905","43"
"5906","155"
"5907","80"
"5908","165"
"5909","477"
"6009","77"
"6010","53"
"6011","13"
"6012","94"
"6013","154"
"6014","121"
"6015","85"
"6016","478"
"6017","479"
"6018","3"
"6019","63"
"6020","20"
"6021","57"
"6022","126"
"6023","58"
"6024","168"
"6025","47"
"6026","82"
"6027","36"
"6028","14"
"6029","480"
"6030","111"
"6031","125"
"6032","603"
"6033","60"
"6034","178"
"6036","123"
"6037","90"
"6045","481"
"6046","481"
"6047","8"
"6048","129"
"6050","90"
"6061","100"
"6062","135"
"6065","40"
"6067","39"
"6068","602"
"6137","481"
"6138","80"
"6140","112"
"6141","9"
"6142","13"
"6147","477"
"6149","26"
"6150","407"
"6153","46"
"6155","478"
"6158","110"
"6160","34"
"6166","72"
"6169","101"
"6170","179"
"6175","88"
"6180","83"
"6181","174"
"6185","134"
"6186","159"
"6196","81"
"6199","179"
"6205","20"
"6209","24"
"6213","63"
"6219","111"
"6221","79"
"6230","30"
"6239","70"
"6240","71"
"6261","63"
"6267","477"
"6268","39"
"6272","407"
"6273","112"
"6279","15"
"6309","68"
"6312","138"
"6313","126"
"6374","480"
"6378","179"
"6382","53"
"6384","111"
"6385","616"
"6546","75"
"6548","71"
"6549","20"
"6551","80"
"6552","58"
"6554","83"
"6556","99"
"6557","36"
"6560","165"
"6563","24"
"6564","81"
"6565","154"
"6566","160"
"6567","165"
"6568","605"
"6571","13"
"6573","129"
"6645","27"
"6660","618"
"6673","407"
"6690","126"
"6693","481"
"6697","13"
"6764","57"
"6777","616"
"6780","94"
"6831","172"
"6836","617"
"6845","662"
"6857","1"
"6859","2"
"6863","746"
"6865","43"
"6877","481"
"6882","738"
"6884","47"
"6886","58"
"6900","15"
"6909","8"
"6910","616"
"6921","70"
"6926","20"
"7071","24"
"7074","16"
"7077","72"
"7079","516"
"7080","137"
"7084","3"
"7086","2"
"7091","58"
"7093","480"
"7094","111"
"7096","53"
"7097","45"
"7116","618"
"7131","179"
"7132","109"
"7133","55"
"7144","9"
