RowRef,BirdID,CatchID,CatchIsland,ReleaseIsland,ReleaseDate,ReleaseTime,ReleaseMass,MergeRef,MergeStatus
1,200,2176,CN,CE,01/07/1990,,,-467516929,
2,302,1989,CN,CE,30/06/1990,,,1790967039,
3,303,1987,CN,CE,30/06/1990,,,-1953313793,
4,313,1967,CN,CE,30/06/1990,,,-1156161793,
5,314,1964,CN,CE,30/06/1990,,,1721214463,
6,315,1962,CN,CE,01/07/1990,,,-437268225,
7,316,1959,CN,CE,29/06/1990,,,1381191679,
8,318,1954,CN,CE,29/06/1990,,,-35335425,
9,319,1952,CN,CE,29/06/1990,,,419187199,
10,320,1950,CN,CE,29/06/1990,,,-1638800129,
11,322,1946,CN,CE,29/06/1990,,,-92466177,
12,324,1941,CN,CE,29/06/1990,,,-780695809,
13,2971,3438,CN,DS,30/05/2004,00/01/1900,,2048142847,
14,2970,3437,CN,DS,30/05/2004,00/01/1900,,664418559,
15,1673,3504,CN,DS,30/05/2004,00/01/1900,,-1728833537,
16,1858,3502,CN,DS,30/05/2004,00/01/1900,,-2027783425,
17,601,3490,CN,DS,30/05/2004,,,-438087169,
18,1887,3578,CN,DS,12/06/2004,00/01/1900,13.10000038,2109525247,
19,1674,3563,CN,DS,12/06/2004,00/01/1900,13,165436415,
20,1218,3577,CN,DS,12/06/2004,00/01/1900,13.19999981,444182271,
21,1873,3586,CN,DS,12/06/2004,00/01/1900,13.10000038,-1179798017,
22,1695,3568,CN,DS,12/06/2004,00/01/1900,14.39999962,-1729257217,
23,1758,3565,CN,DS,12/06/2004,00/01/1900,12.89999962,882499583,
24,1561,3581,CN,DS,12/06/2004,00/01/1900,14.5,1699816191,
25,1888,3566,CN,DS,12/06/2004,00/01/1900,12,-1208526337,
26,1349,3582,CN,DS,12/06/2004,00/01/1900,15,1101051135,
27,1721,3573,CN,DS,12/06/2004,00/01/1900,15.5,-1882151937,
28,1409,3574,CN,DS,12/06/2004,00/01/1900,13.60000038,-1816340737,
29,1884,3579,CN,DS,12/06/2004,00/01/1900,14.39999962,-1400619521,
30,1882,3576,CN,DS,12/06/2004,00/01/1900,14.60000038,613026047,
31,1550,3580,CN,DS,12/06/2004,00/01/1900,13.10000038,-446388225,
32,1427,3571,CN,DS,12/06/2004,00/01/1900,15.80000019,-669988097,
33,1866,3575,CN,DS,12/06/2004,00/01/1900,15,1347969535,
34,1696,3569,CN,DS,12/06/2004,00/01/1900,14.69999981,647863551,
35,1368,3567,CN,DS,12/06/2004,00/01/1900,14.19999981,1450830847,
36,949,3572,CN,DS,12/06/2004,00/01/1900,14.39999962,1591803647,
37,1856,3584,CN,DS,12/06/2004,00/01/1900,13.5,1840760319,
38,1209,3585,CN,DS,12/06/2004,00/01/1900,14.69999981,-116428545,
39,1726,3583,CN,DS,12/06/2004,00/01/1900,15.60000038,-1619759105,
40,1825,3570,CN,DS,12/06/2004,00/01/1900,14.19999981,-2097057025,
41,1490,3488,CN,DS,29/05/2004,00/01/1900,,1143368191,
42,1188,3473,CN,DS,30/05/2004,00/01/1900,,-313293569,
43,1222,3467,CN,DS,30/05/2004,00/01/1900,,-1678232577,
44,1359,3470,CN,DS,29/05/2004,00/01/1900,,1099310847,
45,1495,3486,CN,DS,29/05/2004,00/01/1900,,745033215,
46,1500,3469,CN,DS,30/05/2004,00/01/1900,,152951039,
47,1666,3471,CN,DS,29/05/2004,00/01/1900,,183056383,
48,1670,3485,CN,DS,29/05/2004,00/01/1900,,-305980673,
49,1671,3476,CN,DS,29/05/2004,00/01/1900,,2088858111,
50,1683,3483,CN,DS,29/05/2004,00/01/1900,,1516399871,
51,1684,3481,CN,DS,29/05/2004,00/01/1900,,-1838449665,
52,1714,3480,CN,DS,29/05/2004,00/01/1900,,625757951,
53,1784,3497,CN,DS,30/05/2004,00/01/1900,,-1414146561,
54,1820,3477,CN,DS,29/05/2004,00/01/1900,,-1957347073,
55,1833,3472,CN,DS,29/05/2004,00/01/1900,,65208319,
56,1843,3478,CN,DS,29/05/2004,00/01/1900,,66437887,
57,1844,3482,CN,DS,29/05/2004,00/01/1900,,-1232504321,
58,1847,3475,CN,DS,29/05/2004,00/01/1900,,-1234545409,
59,1896,3487,CN,DS,29/05/2004,00/01/1900,,-537672705,
60,2965,3468,CN,DS,30/05/2004,00/01/1900,,-1747749121,
61,506,3491,CN,DS,30/05/2004,00/01/1900,,-1027580417,
62,628,3496,CN,DS,30/05/2004,,,2052434175,
63,825,3503,CN,DS,30/05/2004,,,444712959,
64,1396,3499,CN,DS,30/05/2004,00/01/1900,,-1791399169,
65,1435,3501,CN,DS,30/05/2004,00/01/1900,,56525311,
66,1508,3500,CN,DS,30/05/2004,00/01/1900,,1309359359,
67,1700,3498,CN,DS,30/05/2004,00/01/1900,,514919423,
68,1730,3494,CN,DS,30/05/2004,00/01/1900,,1253809919,
69,1849,3492,CN,DS,30/05/2004,00/01/1900,,-592976385,
70,1876,3495,CN,DS,30/05/2004,00/01/1900,,348066047,
71,1687,173,CN,AR,26/09/1988,,,317034495,
72,249,2071,CN,AR,29/09/1988,,,-718400769,
73,248,2073,CN,AR,29/09/1988,,,1210092031,
74,247,2075,CN,AR,29/09/1988,,,-236641025,
75,246,2077,CN,AR,28/09/1988,,,1556304895,
76,245,2079,CN,AR,28/09/1988,,,-1817917697,
77,244,2082,CN,AR,28/09/1988,,,2022469119,
78,243,2089,CN,AR,28/09/1988,,,1563523327,
79,242,2091,CN,AR,28/09/1988,,,1697535999,
80,241,2094,CN,AR,27/09/1988,,,-613172481,
81,240,2096,CN,AR,27/09/1988,,,-1108372993,
82,239,2098,CN,AR,27/09/1988,,,1989676287,
83,236,2102,CN,AR,26/09/1988,,,-1672832001,
84,235,2104,CN,AR,26/09/1988,,,-332468481,
85,234,2106,CN,AR,26/09/1988,,,-1450314241,
86,232,2110,CN,AR,25/09/1988,,,-1706237697,
87,231,2112,CN,AR,25/09/1988,,,-1115938817,
88,230,2114,CN,AR,25/09/1988,,,598369023,
89,229,2116,CN,AR,25/09/1988,,,1911265791,
90,228,2119,CN,AR,24/09/1988,,,885257471,
91,227,2122,CN,AR,25/09/1988,,,1399251967,
92,226,2124,CN,AR,24/09/1988,,,1912215295,
93,224,2128,CN,AR,23/09/1988,,,-1764983297,
94,223,2130,CN,AR,23/09/1988,,,-693024513,
95,222,2133,CN,AR,23/09/1988,,,2079254527,
96,94,2342,CN,AR,23/09/1988,,,225577727,
97,74,2371,CN,AR,28/09/1988,,,-986406401,
98,68,2383,CN,AR,23/09/1988,,,-1995907841,
99,61,2397,CN,AR,27/09/1988,,,-331863041,
100,24,2456,CN,CE,30/06/1990,,,1722171135,
101,312,1971,CN,CE,01/07/1990,,,-77068801,
102,300,1993,CN,CE,29/06/1990,,,1627304191,
103,332,1927,CN,CE,29/06/1990,,,883339263,
104,304,1985,CN,CE,30/06/1990,,,1550496511,
105,306,1981,CN,CE,01/07/1990,,,-320165377,
106,317,1956,CN,CE,29/06/1990,,,1409729791,
107,305,1983,CN,CE,01/07/1990,,,1155429375,
108,321,1948,CN,CE,29/06/1990,,,-1345100033,
109,301,1991,CN,CE,30/06/1990,,,-1501524481,
110,323,1943,CN,CE,29/06/1990,,,1272256767,
111,299,1997,CN,CE,29/06/1990,,,801339391,
112,69,2379,CN,CE,28/06/1990,,,-1204528385,
113,165,2240,CN,CE,29/06/1990,,,1915597311,
114,191,2200,CN,CE,01/07/1990,,,2052959487,
115,193,2192,CN,CE,30/06/1990,,,796507135,
116,23,2458,CN,CE,01/07/1990,,,1461817087,
248,5751,7729,CN,FR,07/12/2011,00/01/1900,,-1596654522,
249,5752,7730,CN,FR,07/12/2011,00/01/1900,,158029455,
250,5753,7731,CN,FR,07/12/2011,00/01/1900,,1406222972,
251,5516,7734,CN,FR,07/12/2011,00/01/1900,,-1323182788,
252,5554,7735,CN,FR,07/12/2011,00/01/1900,,-196676002,
253,5573,7736,CN,FR,07/12/2011,00/01/1900,,-1503319729,
254,5550,7737,CN,FR,07/12/2011,00/01/1900,,1841621846,
255,5539,7738,CN,FR,07/12/2011,00/01/1900,,-1762476810,
256,5144,7739,CN,FR,07/12/2011,00/01/1900,,-421584971,
257,5603,7740,CN,FR,07/12/2011,00/01/1900,,-33648493,
258,5617,7741,CN,FR,07/12/2011,00/01/1900,,-731278742,
259,5315,7742,CN,FR,07/12/2011,00/01/1900,,385655850,
260,5654,7743,CN,FR,07/12/2011,00/01/1900,,1836598881,
261,5619,7744,CN,FR,07/12/2011,00/01/1900,,-241108728,
262,5313,7746,CN,FR,07/12/2011,00/01/1900,,1600076750,
263,5754,7732,CN,FR,07/12/2011,00/01/1900,,-975204967,
264,5755,7733,CN,FR,07/12/2011,00/01/1900,,-1045270916,
265,5680,7745,CN,FR,07/12/2011,00/01/1900,,-2014551791,
266,5684,7747,CN,FR,07/12/2011,00/01/1900,,1246094136,
267,5622,7748,CN,FR,07/12/2011,00/01/1900,,-1136954294,
268,5540,7749,CN,FR,07/12/2011,00/01/1900,,-1053976815,
269,5623,7750,CN,FR,07/12/2011,00/01/1900,,-1954494189,
270,5756,7751,CN,FR,14/12/2011,00/01/1900,,-1262646512,
271,5757,7752,CN,FR,14/12/2011,00/01/1900,,380656937,
272,5758,7753,CN,FR,14/12/2011,00/01/1900,,1837743920,
273,5759,7754,CN,FR,14/12/2011,00/01/1900,,184431049,
274,5747,7768,CN,FR,14/12/2011,00/01/1900,,577122915,
275,5167,7769,CN,FR,14/12/2011,00/01/1900,,1977500867,
276,5561,7770,CN,FR,14/12/2011,00/01/1900,,1818683284,
277,5574,7771,CN,FR,14/12/2011,00/01/1900,,-654010133,
278,5526,7776,CN,FR,14/12/2011,00/01/1900,,-85992548,
279,5497,7777,CN,FR,14/12/2011,00/01/1900,,2120559785,
280,5551,7778,CN,FR,14/12/2011,00/01/1900,,-2023420168,
281,3462,7779,CN,FR,14/12/2011,00/01/1900,,204734648,
282,5116,7780,CN,FR,14/12/2011,00/01/1900,,164266607,
283,1765,7781,CN,FR,14/12/2011,00/01/1900,,1491408065,
284,4902,7782,CN,FR,14/12/2011,00/01/1900,,740570902,
285,5532,7783,CN,FR,14/12/2011,00/01/1900,,2133616915,
286,5599,7784,CN,FR,14/12/2011,00/01/1900,,-20567311,
287,5649,7785,CN,FR,14/12/2011,00/01/1900,,838728943,
288,5760,7755,CN,FR,14/12/2011,00/01/1900,,-331063382,
289,5761,7756,CN,FR,14/12/2011,00/01/1900,,1351471158,
290,5762,7757,CN,FR,14/12/2011,00/01/1900,,-311242107,
291,5763,7758,CN,FR,14/12/2011,00/01/1900,,-1169169126,
292,5610,7759,CN,FR,14/12/2011,00/01/1900,,-43678100,
293,5316,7760,CN,FR,14/12/2011,00/01/1900,,1660434785,
294,5240,7761,CN,FR,14/12/2011,00/01/1900,,-848266350,
295,5628,7763,CN,FR,14/12/2011,00/01/1900,,-1501901531,
296,1791,7764,CN,FR,14/12/2011,00/01/1900,,-1188581519,
297,5335,7765,CN,FR,14/12/2011,00/01/1900,,-586440419,
298,5515,7766,CN,FR,14/12/2011,00/01/1900,,-94428293,
299,5553,7767,CN,FR,14/12/2011,00/01/1900,,790541558,
300,5591,7772,CN,FR,14/12/2011,00/01/1900,,489346668,
301,5531,7773,CN,FR,14/12/2011,00/01/1900,,-1452799747,
302,5632,7774,CN,FR,14/12/2011,00/01/1900,,-1277244677,
303,5609,7775,CN,FR,14/12/2011,00/01/1900,,-1864655628,
304,3093,7786,CN,FR,14/12/2011,00/01/1900,,1259274102,
305,1803,7787,CN,FR,14/12/2011,00/01/1900,,-156405530,
306,5457,7788,CN,FR,14/12/2011,00/01/1900,,-1651543345,
