"BirdID","ObjectScore","OccasionDate","LastFPIDNatal","SecondLastFPIDNatal","NatalTerritory","SecondLastFPIDNatalPeriodStart","SecondLastFPIDNatalPeriodEnd","LastFPIDNatalPeriodStart","LastFPIDNatalPeriodEnd","Disperse","Prior_dispersal","Method","DispersalDate","DispersalMonth","DispersalMonth2","Status2","FieldPeriodID","PeriodStart","PeriodEnd","TerritoryID","Status","NatalStatus","NatalStatus2"
6034,1,2013-08-10,122,118,178,"2013-01-22","2013-02-27","2013-06-18","2013-09-30",1,"1","E","2014-02-06","Feb","W",1,125,"2014-06-16","2014-10-04",616,"BrF","ABX",2
6045,0,2013-09-25,139,125,481,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","E","2015-04-28","Apr","W",1,142,"2015-06-22","2015-09-29",20,"BrM","ABX",2
6047,66,2015-02-13,125,124,8,"2014-01-19","2014-03-04","2014-06-16","2014-10-04",1,"0","E","2014-11-25","Nov","W",2,139,"2015-01-16","2015-03-05",3,"ABX","ABX",2
6048,1,2014-02-01,122,118,129,"2013-01-22","2013-02-27","2013-06-18","2013-09-30",1,"1","E","2014-02-06","Feb","W",1,125,"2014-06-16","2014-10-04",59,"BrF","ABX",2
6050,30,2013-09-24,124,122,90,"2013-06-18","2013-09-30","2014-01-19","2014-03-04",1,"1","E","2014-04-25","Apr","W",1,125,"2014-06-16","2014-10-04",155,"BrM","ABX",2
6065,0,2014-02-14,124,122,40,"2013-06-18","2013-09-30","2014-01-19","2014-03-04",1,"1","P","2014-07-08","Jul","S",1,125,"2014-06-16","2014-10-04",83,"BrF","OFL",2
6067,23,2014-02-18,124,122,39,"2013-06-18","2013-09-30","2014-01-19","2014-03-04",1,"1","E","2014-10-27","Oct","W",1,142,"2015-06-22","2015-09-29",633,"BrF","ABX",2
6138,0,2014-06-23,139,125,80,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","E","2015-04-28","Apr","W",1,142,"2015-06-22","2015-09-29",47,"BrF","ABX",2
6141,1,2014-06-21,125,124,9,"2014-01-19","2014-03-04","2014-06-16","2014-10-04",1,"1","E","2014-11-25","Nov","W",2,139,"2015-01-16","2015-03-05",13,"ABX","OFL",2
6158,27,2014-06-30,139,125,110,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","E","2015-04-28","Apr","W",1,142,"2015-06-22","2015-09-29",118,"BrM","ABX",2
6160,40,2015-02-27,125,124,34,"2014-01-19","2014-03-04","2014-06-16","2014-10-04",1,"0","E","2014-11-25","Nov","W",1,139,"2015-01-16","2015-03-05",26,"BrF","H",2
6166,96,2014-09-25,139,125,72,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","E","2015-04-28","Apr","W",1,142,"2015-06-22","2015-09-29",70,"BrM","ABX",2
6169,94,2016-02-20,142,139,101,"2015-01-16","2015-03-05","2015-06-22","2015-09-29",1,"0","E","2015-12-01","Dec","W",1,144,"2016-02-02","2016-03-09",140,"BrF","SBR",2
6170,0,2016-02-20,139,125,179,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"0","E","2015-04-28","Apr","W",1,142,"2015-06-22","2015-09-29",140,"BrM","ABX",2
6175,27,2014-07-18,139,125,88,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","E","2015-04-28","Apr","W",1,142,"2015-06-22","2015-09-29",99,"BrM","ABX",2
6181,1,2014-07-18,122,118,174,"2013-01-22","2013-02-27","2013-06-18","2013-09-30",1,"0","E","2014-02-06","Feb","W",1,125,"2014-06-16","2014-10-04",95,"BrF","CH",2
6185,5,2014-07-23,139,125,134,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","E","2015-04-28","Apr","W",1,142,"2015-06-22","2015-09-29",98,"BrF","ABX",2
6186,18,2014-07-23,144,142,159,"2015-06-22","2015-09-29","2016-02-02","2016-03-09",1,"1","P","2016-07-01","Jul","S",1,159,"2016-06-23","2016-09-19",110,"BrF","ABX",2
6196,50,2015-01-28,124,122,81,"2013-06-18","2013-09-30","2014-01-19","2014-03-04",1,"0","E","2014-04-25","Apr","W",1,125,"2014-06-16","2014-10-04",138,"BrM","CH",2
6199,68,2015-02-07,139,125,179,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","P","2015-07-18","Jul","S",1,142,"2015-06-22","2015-09-29",16,"BrF","ABX",2
6213,6,2015-01-29,139,125,63,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","E","2015-04-28","Apr","W",1,142,"2015-06-22","2015-09-29",48,"BrM","ABX",2
6219,27,2015-02-07,139,125,111,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","E","2015-04-28","Apr","W",1,142,"2015-06-22","2015-09-29",34,"BrM","ABX",2
6221,46,2016-02-10,139,125,79,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"0","P","2015-08-01","Aug","S",1,142,"2015-06-22","2015-09-29",637,"BrM","ABX",2
6230,21,2015-02-02,139,125,30,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","E","2015-10-29","Oct","W",2,159,"2016-06-23","2016-09-19",28,"AB","ABX",2
6261,30,2015-01-29,144,142,63,"2015-06-22","2015-09-29","2016-02-02","2016-03-09",1,"1","E","2016-05-01","May","S",1,159,"2016-06-23","2016-09-19",64,"BrM","ABX",2
6267,14,2015-01-30,139,125,477,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","P","2015-07-08","Jul","S",1,142,"2015-06-22","2015-09-29",633,"BrM","ABX",2
6272,0,2015-01-31,139,125,407,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"1","P","2015-07-30","Jul","S",1,142,"2015-06-22","2015-09-29",637,"BrF","ABX",2
6279,7,2016-03-04,144,142,15,"2015-06-22","2015-09-29","2016-02-02","2016-03-09",1,"1","E","2016-05-01","May","S",1,159,"2016-06-23","2016-09-19",60,"BrF","ABX",2
6309,13,2015-01-29,142,139,68,"2015-01-16","2015-03-05","2015-06-22","2015-09-29",1,"1","E","2015-12-01","Dec","W",1,144,"2016-02-02","2016-03-09",605,"BrM","AB",2
6312,3,2015-02-04,125,124,138,"2014-01-19","2014-03-04","2014-06-16","2014-10-04",1,"0","E","2014-11-25","Nov","W",2,139,"2015-01-16","2015-03-05",155,"ABX","CH",2
6313,63,2015-02-09,161,159,126,"2016-06-23","2016-09-19","2017-02-07","2017-03-03",1,"1","E","2017-04-27","Apr","W",1,164,"2017-06-21","2017-09-20",127,"BrM","ABX",2
6374,31,2016-02-05,159,144,480,"2016-02-02","2016-03-09","2016-06-23","2016-09-19",1,"1","E","2016-11-28","Nov","W",1,161,"2017-02-07","2017-03-03",740,"BrM","H",2
6378,53,2016-09-07,159,144,179,"2016-02-02","2016-03-09","2016-06-23","2016-09-19",1,"0","P","2016-02-12","Feb","W",2,144,"2016-02-02","2016-03-09",662,"ABX","H",2
6382,119,2016-02-24,144,142,53,"2015-06-22","2015-09-29","2016-02-02","2016-03-09",1,"1","E","2016-05-01","May","S",1,159,"2016-06-23","2016-09-19",50,"BrM","ABX",2
6384,22,2016-02-05,144,142,111,"2015-06-22","2015-09-29","2016-02-02","2016-03-09",1,"1","E","2016-05-01","May","S",1,159,"2016-06-23","2016-09-19",110,"BrM","ABX",2
6385,60,2019-08-19,144,142,616,"2015-06-22","2015-09-29","2016-02-02","2016-03-09",1,"0","E","2016-08-23","Aug","S",1,161,"2017-02-07","2017-03-03",2,"BrM","ABX",2
6546,67,2019-08-17,144,142,75,"2015-06-22","2015-09-29","2016-02-02","2016-03-09",1,"0","E","2016-05-01","May","S",1,159,"2016-06-23","2016-09-19",39,"BrF","OFL",2
6552,34,2016-02-07,142,139,58,"2015-01-16","2015-03-05","2015-06-22","2015-09-29",1,"0","E","2015-12-01","Dec","W",2,144,"2016-02-02","2016-03-09",127,"ABX","CH",2
6554,91,2016-02-10,144,142,83,"2015-06-22","2015-09-29","2016-02-02","2016-03-09",1,"1","P","2016-06-28","Jun","S",1,159,"2016-06-23","2016-09-19",58,"BrF","OFL",2
6556,22,2016-02-10,142,139,99,"2015-01-16","2015-03-05","2015-06-22","2015-09-29",1,"0","E","2015-12-01","Dec","W",2,144,"2016-02-02","2016-03-09",88,"ABX","CH",2
6557,24,2016-02-11,159,144,36,"2016-02-02","2016-03-09","2016-06-23","2016-09-19",1,"1","E","2016-11-28","Nov","W",1,161,"2017-02-07","2017-03-03",32,"BrM","AB",2
6563,47,2016-02-18,159,144,24,"2016-02-02","2016-03-09","2016-06-23","2016-09-19",1,"1","E","2017-02-03","Feb","W",1,164,"2017-06-21","2017-09-20",746,"BrM","ABX",2
6565,80,2016-02-19,139,125,154,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"0","E","2015-08-19","Aug","S",1,144,"2016-02-02","2016-03-09",663,"BrM","CH",2
6566,37,2016-02-19,139,125,160,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",1,"0","E","2015-08-19","Aug","S",1,144,"2016-02-02","2016-03-09",154,"BrM","CH",2
6568,0,2016-02-21,159,144,605,"2016-02-02","2016-03-09","2016-06-23","2016-09-19",1,"1","E","2016-11-28","Nov","W",1,161,"2017-02-07","2017-03-03",60,"BrF","AB",2
6645,23,2019-02-27,161,159,27,"2016-06-23","2016-09-19","2017-02-07","2017-03-03",1,"0","E","2017-04-27","Apr","W",1,164,"2017-06-21","2017-09-20",12,"BrM","ABX",2
6660,26,2016-09-10,142,139,618,"2015-01-16","2015-03-05","2015-06-22","2015-09-29",1,"0","E","2016-06-03","Jun","S",1,161,"2017-02-07","2017-03-03",50,"BrF","CH",2
6673,1,2016-09-12,161,159,407,"2016-06-23","2016-09-19","2017-02-07","2017-03-03",1,"1","E","2017-04-27","Apr","W",1,164,"2017-06-21","2017-09-20",20,"BrF","ABX",2
6690,23,2019-02-08,159,144,126,"2016-02-02","2016-03-09","2016-06-23","2016-09-19",1,"0","E","2016-11-28","Nov","W",1,161,"2017-02-07","2017-03-03",2,"BrF","CH",2
6693,1,2020-03-02,164,161,481,"2017-02-07","2017-03-03","2017-06-21","2017-09-20",1,"0","E","2017-11-25","Nov","W",1,166,"2018-01-30","2018-03-14",531,"BrF","H",2
6697,0,2019-02-25,164,161,13,"2017-02-07","2017-03-03","2017-06-21","2017-09-20",1,"0","P","2017-08-15","Aug","S",1,164,"2017-06-21","2017-09-20",740,"BrM","ABX",2
6764,2,2019-02-07,166,164,57,"2017-06-21","2017-09-20","2018-01-30","2018-03-14",1,"0","E","2018-05-01","May","S",1,167,"2018-06-19","2018-09-22",123,"BrF","ABX",2
6780,6,2020-03-11,167,166,94,"2018-01-30","2018-03-14","2018-06-19","2018-09-22",1,"0","P","2019-02-07","Feb","W",1,171,"2019-01-21","2019-03-09",765,"BrF","AB",2
6831,0,2019-02-22,173,171,172,"2019-01-21","2019-03-09","2019-06-10","2019-09-23",1,"1","E","2019-11-29","Nov","W",1,174,"2020-02-05","2020-03-16",740,"BrM","ABX",2
6836,5,2019-02-12,167,166,617,"2018-01-30","2018-03-14","2018-06-19","2018-09-22",1,"0","E","2018-11-21","Nov","W",1,171,"2019-01-21","2019-03-09",68,"BrF","ABX",2
6857,45,2020-03-09,166,164,1,"2017-06-21","2017-09-20","2018-01-30","2018-03-14",1,"0","E","2018-05-01","May","S",2,167,"2018-06-19","2018-09-22",739,"ABX","CH",2
6863,14,2019-02-22,173,171,746,"2019-01-21","2019-03-09","2019-06-10","2019-09-23",1,"1","P","2020-02-17","Feb","W",1,174,"2020-02-05","2020-03-16",26,"BrM","ABX",2
6865,0,2019-02-11,171,167,43,"2018-06-19","2018-09-22","2019-01-21","2019-03-09",1,"1","P","2019-07-24","Jul","S",1,173,"2019-06-10","2019-09-23",28,"BrM","ABX",2
6877,57,2019-02-25,171,167,481,"2018-06-19","2018-09-22","2019-01-21","2019-03-09",1,"1","P","2019-06-17","Jun","S",1,173,"2019-06-10","2019-09-23",20,"BrM","ABX",2
6900,31,2019-03-04,167,166,15,"2018-01-30","2018-03-14","2018-06-19","2018-09-22",1,"0","P","2019-02-07","Feb","W",1,171,"2019-01-21","2019-03-09",172,"BrM","ABX",2
7094,30,2019-02-25,171,167,111,"2018-06-19","2018-09-22","2019-01-21","2019-03-09",1,"1","E","2019-04-24","Apr","W",2,173,"2019-06-10","2019-09-23",746,"H","ABX",2
1660,18,2013-09-15,118,116,8,"2012-06-04","2012-09-30","2013-01-22","2013-02-27",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5173,27,2013-09-19,122,118,129,"2013-01-22","2013-02-27","2013-06-18","2013-09-30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5290,7,2013-02-15,90,87,62,"2008-07-10","2008-09-07","2008-12-30","2009-03-03",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5517,128,2014-02-12,139,125,2,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5748,4,2013-08-22,125,124,50,"2014-01-19","2014-03-04","2014-06-16","2014-10-04",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5770,44,2013-07-28,118,116,47,"2012-06-04","2012-09-30","2013-01-22","2013-02-27",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5778,43,2013-02-21,116,112,168,"2012-01-22","2012-02-28","2012-06-04","2012-09-30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5901,32,2013-07-22,118,116,63,"2012-06-04","2012-09-30","2013-01-22","2013-02-27",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6013,21,2013-07-11,116,112,154,"2012-01-22","2012-02-28","2012-06-04","2012-09-30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6015,1,2013-07-18,118,116,85,"2012-06-04","2012-09-30","2013-01-22","2013-02-27",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6020,19,2013-07-23,122,118,20,"2013-01-22","2013-02-27","2013-06-18","2013-09-30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6021,0,2013-07-24,122,118,57,"2013-01-22","2013-02-27","2013-06-18","2013-09-30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6023,0,2013-07-25,122,118,58,"2013-01-22","2013-02-27","2013-06-18","2013-09-30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6026,3,2013-07-28,125,124,82,"2014-01-19","2014-03-04","2014-06-16","2014-10-04",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6031,5,2013-08-11,118,116,125,"2012-06-04","2012-09-30","2013-01-22","2013-02-27",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6037,39,2013-08-24,122,118,90,"2013-01-22","2013-02-27","2013-06-18","2013-09-30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6062,34,2014-01-31,122,118,135,"2013-01-22","2013-02-27","2013-06-18","2013-09-30",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6142,76,2014-06-21,139,125,13,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6147,3,2014-06-25,139,125,477,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6149,50,2015-02-27,139,125,26,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6150,63,2015-01-31,139,125,407,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6153,13,2014-08-03,125,124,46,"2014-01-19","2014-03-04","2014-06-16","2014-10-04",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6180,44,2014-07-18,124,122,83,"2013-06-18","2013-09-30","2014-01-19","2014-03-04",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6205,19,2015-02-06,139,125,20,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6209,19,2015-01-31,139,125,24,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6239,51,2015-02-10,139,125,70,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6240,20,2015-02-02,139,125,71,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6268,28,2015-01-31,139,125,39,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6273,8,2015-02-07,139,125,112,"2014-06-16","2014-10-04","2015-01-16","2015-03-05",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6549,3,2016-02-05,142,139,20,"2015-01-16","2015-03-05","2015-06-22","2015-09-29",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6560,46,2016-02-13,144,142,165,"2015-06-22","2015-09-29","2016-02-02","2016-03-09",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6564,25,2016-02-19,144,142,81,"2015-06-22","2015-09-29","2016-02-02","2016-03-09",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6571,18,2016-02-25,167,166,13,"2018-01-30","2018-03-14","2018-06-19","2018-09-22",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6777,0,2019-02-08,173,171,616,"2019-01-21","2019-03-09","2019-06-10","2019-09-23",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6859,6,2020-03-03,174,173,2,"2019-06-10","2019-09-23","2020-02-05","2020-03-16",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6884,23,2019-02-20,174,173,47,"2019-06-10","2019-09-23","2020-02-05","2020-03-16",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6886,66,2019-02-09,174,173,58,"2019-06-10","2019-09-23","2020-02-05","2020-03-16",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6909,10,2020-03-03,174,173,8,"2019-06-10","2019-09-23","2020-02-05","2020-03-16",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6910,27,2019-08-17,174,173,616,"2019-06-10","2019-09-23","2020-02-05","2020-03-16",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6926,52,2020-03-09,173,171,20,"2019-01-21","2019-03-09","2019-06-10","2019-09-23",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7071,30,2020-03-06,174,173,24,"2019-06-10","2019-09-23","2020-02-05","2020-03-16",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7074,0,2019-02-26,171,167,16,"2018-06-19","2018-09-22","2019-01-21","2019-03-09",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7077,33,2019-02-09,171,167,72,"2018-06-19","2018-09-22","2019-01-21","2019-03-09",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7079,5,2019-02-14,171,167,516,"2018-06-19","2018-09-22","2019-01-21","2019-03-09",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7084,96,2020-03-06,173,171,3,"2019-01-21","2019-03-09","2019-06-10","2019-09-23",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7086,0,2019-02-08,173,171,2,"2019-01-21","2019-03-09","2019-06-10","2019-09-23",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7091,4,2019-02-17,174,173,58,"2019-06-10","2019-09-23","2020-02-05","2020-03-16",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7096,2,2019-03-02,173,171,53,"2019-01-21","2019-03-09","2019-06-10","2019-09-23",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7097,0,2019-03-01,171,167,45,"2018-06-19","2018-09-22","2019-01-21","2019-03-09",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7116,4,2020-03-06,174,173,618,"2019-06-10","2019-09-23","2020-02-05","2020-03-16",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7131,0,2020-03-04,174,173,179,"2019-06-10","2019-09-23","2020-02-05","2020-03-16",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7132,53,2020-03-02,174,173,109,"2019-06-10","2019-09-23","2020-02-05","2020-03-16",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7133,0,2020-03-03,174,173,55,"2019-06-10","2019-09-23","2020-02-05","2020-03-16",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
